"Reviews of ","Reviews of "
"Average Rating ","Average Rating "
"Based on","Based on "
"Ratings","Ratings "
"Read","Read "
"Review","Review "
"Have you used this product?","Have you used this product?"
"Rate it now","Rate it now"
"Write Your Review","Write Your Review"
"Most Accepted Reviews","Most Accepted Reviews"
"Permalink","Permalink"
"Report Abuse","Report Abuse"
"Was this review helpful?","Was this review helpful?"
"Yes","Yes"
"No","No"
"Be the first to review this product","Be the first to review this product"
"Amaze Reviews and Ratings","Amaze Reviews and Ratings"
"Helpful Reviews Report","Helpful Reviews Report"
"Review ID","Review ID"
"Review Title","Review Title",
"Reviewer Name","Reviewer Name"
"Helpful Yes Count","Helpful Yes Count"
"Helpful No Count","Helpful No Count"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Helpful Reviews List","Helpful Reviews List"
"Helpful Vote","Helpful Vote"
"Voter Name","Voter Name"
"Voted On","Voted On"
"Abused Reviews Report","Abused Reviews Report"
"Abuse Count","Abuse Count"
"Pending Count","Pending Count"
"Accepted Count","Accepted Count"
"Denied Count","Denied Count"
"Abuse Action","Abuse Action"
"Abused Reviews List","Abused Reviews List"
"Reported On","Reported On"
"Reporter Comments","Reporter Comments"
"Reporter Name","Reporter Name"
"Email","Email"
"View","View"
"Module Configuration","Module Configuration"
"Facebook API","Facebook API"
"Facebook App Id","Facebook App Id"
"Facebook Secret Key","Facebook Secret Key"
"Please Enter facebook app id","Please Enter facebook app id"
"Please Enter facebook app secret key","Please Enter facebook app secret key"
"Google API","Google API"
"Recently Reviewed Sideblock","Recently Reviewed Sideblock"
"Display Sideblock in Left","Display Sideblock in Left"
"Display Sideblock in Right","Display Sideblock in Right"
"Review Words Count","Review Words Count"
"Reviews Count","Reviews Count"
"Review Title Words Count","Review Title Words Count"
"To enable the sideblock for Recently added review","To enable the sideblock for Recently added review"
"Select 'Yes'to display Recently Reviewed Sideblock in left","Select 'Yes'to display Recently Reviewed Sideblock in left"
"Select 'Yes'to display Recently Reviewed Sideblock in right","Select 'Yes'to display Recently Reviewed Sideblock in right"
"Set to zero to show full review text","Set to zero to show full review text"
"Set to zero to show all reviews","Set to zero to show all reviews"
"Delete Reviews","Delete Reviews"
"Allow reviewer to Delete his/her own review","Allow reviewer to Delete his/her own review"
"Rating Bar Color","Rating Bar Color"
"Select Rating Bar Color","Select Rating Bar Color"
"Default color is green","Default color is green"
"RECENT REVIEWS","RECENT REVIEWS"
"Thanks for your vote!","Thanks for your vote!"
"Thanks for Reporting!","Thanks for Reporting!"
"You have already voted this review!","You have already voted this review!",
"of","of"
"users found this review helpful","users found this review helpful"
"user found this review helpful","user found this review helpful"
"Read More","Read More"
"Your ratings has been accepted for moderation","Your ratings has been accepted for moderation"
"You have abused this review!","You have abused this review!"
"Reviewed on","Reviewed on"
"Pick color for rating bar","Pick color for rating bar"
"Set to zero to show full review title text","Set to zero to show full review title text"
"Review of","Review of"
"Share with Facebook Friends","Share with Facebook Friends"
"Share with Google+ Circles","Share with Google+ Circles"
"Price ","Price "
"Value","Value"
"Quality","Quality"
"Rate it now","Rate it now"
"5 Stars","5 Stars"
"4 Stars","4 Stars"
"3 Stars","3 Stars"
"2 Stars","2 Stars"
"1 Stars","1 Stars"
"Was this review helpful ? Yes / No","Was this review helpful ? Yes / No"
" Nickname","Nickname"
"Rate it now.","Rate it now."
"Read %d Review","Read %d Review"
"Read %d Reviews","Read %d Reviews"
"Recent Reviews","Recent Reviews"
"You have already voted this review!","You have already voted this review!"
"* Should not be empty.","* Should not be empty."
"Something went wrong","Something went wrong"
"Why do you want to report this review?","Why do you want to report this review?"
"Report Review","Report Review"
"Based on","Based on"
"rating","rating"
"ratings","ratings"
"Review Id","Review Id"
"%d Reviews","%d Reviews"
"Thanks for your rating, you rated ","Thanks for your rating, you rated "
"Thanks for your vote!","Thanks for your vote!"
"Thanks for your vote!","Thanks for your vote!"
"Your review has been deleted! ","Your review has been deleted! "
"Your review would be voted by others","Your review would be voted by others"
" for this product! "," for this product! "
" % of "," % of "
" user found this review helpful"," user found this review helpful"
" users found this review helpful"," users found this review helpful"
"Your review would be voted by others","Your review would be voted by others"
"Are you sure you want to delete this review?","Are you sure you want to delete this review?"
"Thanks for your rating, you rated ","Thanks for your rating, you rated "
" for this product! "," for this product! "
"Thanks for your vote!","Thanks for your vote!"
"Your review has been deleted! ","Your review has been deleted! "
"Was this review helpful ? ","Was this review helpful ? "
" of %d user found this review helpful"," of %d user found this review helpful"
" of %d users found this review helpful"," of %d users found this review helpful"
"By","By" 
